"id","text_chunk"
"37","Proactive interference is when older information interferes with your ability to remember something newer. For example, you’re trying to remember the new login password you set but you keep thinking of your previous one.
Retroactive interference is the reverse of proactive interference: It’s when newer information gets disrupted by older information. For example, you’re trying to remember your home address from 10 years ago but you keep thinking of your home address from 2 years ago."
"38","The second explanation of forgetting is an absence of cues. This happens when information is stored in long-term memory but can’t be accessed because there is nothing to trigger the memory. Tulving and Thomson (1973) suggest that forgetting is more likely to occur when the context in which the memory is recalled is different from the context in which the memory was coded.
Context-dependent failure is when the external environment does not provide the cues necessary to recall a memory. For example, you might be perfectly able to remember your bank card pin code when you have to type it in an ATM, but struggle to remember it when walking along a beach.
State-dependent failure is when the internal environment during recall is different from the internal environment when the memory was coded."
"39","An example of a differing internal environment would be being sober vs. on drugs. For example, Darley et al (1973) observed that participants who forgot where they hid money while high on cannabis were more likely to remember where they hid that money once they got high again compared to when they were sober.
Eyewitness testimony is where a person who was present at an event recalls what happened. It’s often used as evidence in court, but eyewitness testimony can be unreliable. So, psychological research into the factors affecting eyewitness testimony and how it can be improved is important to help ensure fair and accurate trials."
"40","Several psychological studies have shown the accuracy of eyewitness testimony can be altered after the event by exposing the witness to misleading information during post-event discussion."
"41","Asking the question using a more intense the verb (e.g. ‘smashed’) rather than a less intense verb (e.g. ‘contacted’), influenced the participant to estimate a higher speed. This supports the claim that asking leading questions affects eyewitness testimony.
In another study, Loftus (1975) found that leading questions can add false information to a memory. For example, in one experiment, participants were shown a video of a car journey and then asked “how fast was the car going when it passed the white barn?” despite there being no barn at all in the video. When asked to recall the event a week later, 17% of participants falsely remembered seeing a barn."
"42","Another factor affecting eyewitness testimony is the witness’ anxiety levels. This is particularly relevant when witnesses are recalling anxiety-inducing events, such as violent crimes.
Deffenbacher (1983) suggested an ‘inverted-U’ hypothesis for the relationship between anxiety and the accuracy of eyewitness testimony. According to this hypothesis, a moderate amount of anxiety produces the most accurate and detailed eyewitness testimony. However, too much or too little anxiety reduces the accuracy of the eyewitness testimony."
"43","Research on the inverted-U hypothesis is somewhat conflicting. For example, in interviews with witnesses to bank robberies, Christianson and Hubinette (1993) found no relationship between anxiety and accuracy of testimony, weakening support for the inverted-U hypothesis."
"44","However, several studies support the inverted-U hypothesis. For example, Loftus et al (1987) found that when an incident involves a weapon, witnesses will often focus on the weapon over all other details such as the perpetrator’s face, clothes, voice, etc. This ‘weapons effect’ supports the hypothesis that very high levels of anxiety reduce the accuracy and detail of eyewitness testimony. Further, a meta-analysis by Deffenbacher et al (2004) found high levels of stress negatively affect eyewitness testimony, further supporting the inverted-U hypothesis."
"45","Psychologists have applied the kind of research above to develop methods for improving memory recall. An example of this is the cognitive interview.
The cognitive interview is a method of conducting police interviews to improve the accuracy and detail of eyewitness testimony. It draws on some of the research above, such as the need for cues to help trigger memory. The syllabus also mentions various animal studies of attachment.
A newborn baby is unable to support itself, and so must develop attachment bonds with adults who can provide it with food, shelter, and protection."
"46","Although a newborn baby cannot speak with a caregiver to develop these bonds, there are several ways infants and caregivers communicate that help develop an attachment between them. The syllabus mentions two in particular: Interactional synchrony and reciprocity.
Interactions between caregivers and infants are not simply one-way, they are reciprocal. For example, when the baby smiles, it will often make the mother smile back and vice versa. These kinds of reciprocal interactions strengthen the emotional connection between infant and caregiver."
"47","The reciprocal interactions between infant and caregiver are somewhat synchronised. For example, you might pull a funny face, the baby laughs, and then you laugh back. These kinds of interactions are rhythmic and co-ordinated, with both infant and caregiver ‘taking turns’ in a similar way to how adults take turns to speak in conversations. These synchronous interactions further strengthen the bond between infant and caregiver."
"48","In most cases, an infant’s primary attachment figure will be its mother. However, in many cases, it will be the father instead.
Traditionally, mothers and fathers play different roles. The mother is typically seen as occupying the caregiving and nurturing role to the infant, whereas the father is seen as a playmate who provides more physical and exciting play than the mother. Due to this, infants tend to prefer contact with their fathers when they are feeling happy and positive and want to play, but prefer contact with their mothers when they are upset and want comforting."
"49","Although fathers have typically been seen as occupying a less important role than the mother, societal changes (such as more mothers going out to work) mean men are often expected to play a bigger role in parenting than before. It is increasingly common for men to be the infant’s primary caregiver instead of just a playmate.
A lot of early psychological research into attachment was conducted on animals. This is because such research is generally considered more ethical than if conducted on humans, yet there are many similarities between humans and animals that can inform knowledge of human psychology."
"50","Imprinting is a form of attachment where an animal (particularly birds) develops an attachment to the first large moving object it sees. In 1935, Konrad Lorenz conducted a study with the aim of investigating the mechanisms and effects of imprinting.
This experiment demonstrates imprinting. The newly hatched goslings developed an attachment to the first moving object they encountered, regardless of whether it was their biological mother or not. Lorenz noted that imprinting occurred within 4-25 hours after birth.
The aim of Harry Harlow’s 1959 studies was to test whether attachment is based solely on food (as learning theory might suggest) or whether there is more to attachment than this."
"51","These experiments suggest monkeys are born with an innate need for comforting via physical contact and that this physical contact is more important for attachment than food is (as learning theory might suggest). A lack of physical contact is likely to cause stress in infant monkeys."
"52","The syllabus mentions two explanations of why humans form attachments: Learning theory (behaviour learned through conditioning) and Bowlby’s monotropic theory (the result of an innate instinct to form an attachment).
Learning theory explains attachment as behaviours learned through conditioning.

Learning theories of attachment may also reference operant conditioning (again, see the approaches page for more details). For example, reducing the unpleasant feeling of hunger may negatively reinforce attachment towards the caregiver."
"53","Bowlby rejects learning theory as an explanation of attachment. Influenced by Lorenz and Harlow’s animal studies, Bowlby instead argued that humans evolved an innate capacity to form an attachment to one (hence monotropic) attachment figure from birth – usually the mother. Although infants may develop other attachments beyond this, these attachments are secondary and much less important.
Bowlby’s explanation of monotropic theory is evolutionary: In a dangerous environment, infants would die if left to fend for themselves, so nature selects for those babies who naturally behave in ways that form bonds with caregivers who will protect them. These natural behaviours are not learned, as learning theory suggests, but are instead pre-programmed from birth (innate)."
"54","According to Bowlby’s theory, there is a critical period within which an infant can develop attachments. After this period, the infant will have difficulty forming attachments at all.
For most infants, this critical period is 12 months after birth. Although some infants may develop attachments after this time, Bowlby believed all infants must develop attachments within 3 years. According to Bowlby’s maternal deprivation hypothesis, forming an attachment to the mother in this critical period is essential for healthy psychological development."
"55","Bowlby’s theory says that an infant’s monotropic (primary) attachment forms a template for all relationships that follow. This template is known as the internal working model and is a cognitive framework through which the individual understands themself and their expectations for relationships to other people. The internal working model also creates some consistency between the emotional experiences of early life and the emotional experiences of later relationships."
"56","The syllabus lists 3 types of infant attachment styles: secure, insecure-avoidant, and insecure-resistant. These differing attachment styles can be observed in the strange situation procedure, which produces varying outcomes when conducted in different cultures.
Ainsworth et al (1978) developed a method for testing infant attachment known as the strange situation."
"57","One of Ainsworth’s strange situation studies involved 106 infants 9-18 months old and their mothers. The aim of this study was to test the infants’ stranger anxiety, separation anxiety, and reunion behaviour. Ainsworth also wanted to observe infants’ exploration behaviour (which is seen as important for cognitive development).
Ainsworth identified 3 types of attachment from observation of the infants’ behaviour during the strange situation procedure: secure attachment, insecure-avoidant, and insecure-resistant."
"58","Many studies across many different cultures have used the strange situation procedure to measure attachment styles. Van Ijzendoorn and Kroonenberg (1988) conducted a meta-analysis (a study of studies) with the aim of determining whether attachment styles are universal across cultures or whether cultural conditions affect attachment styles.
The procedure for the meta-analysis involved collecting data from 32 studies across 8 countries. Together, these studies observed a total of 1990 mother-child pairs in the strange situation procedure."
"59","These results suggest that culture does play a part in attachment styles. For example, studies in Western cultures (e.g. Germany, Britain, USA) tended to observe significantly higher insecure-avoidant attachment styles. In contrast, Japan, China, and Israel had significantly higher insecure-resistant attachment styles.
However, in many cases, intra-cultural differences (differences between studies conducted within the same country) were often greater than inter-cultural differences (differences between studies conducted in two different countries). For example, while one USA study observed 94% of infants had insecure-avoidant attachments, a different USA study observed that just 47% of infants had insecure-avoidant attachments."
"60","Attachments in infancy appear to be highly important for psychological development. The syllabus looks at the influence of infant attachment on adult psychology, as well as the effects of breaking early attachments as observed in the Romanian orphan studies and according to Bowlby’s maternal deprivation hypothesis.
Bowlby argued that attachments between infants and their mothers – particularly during the critical period before age 3 – are essential to healthy psychological development."
"61","More importantly, Bowlby argued that if infants are separated from their mothers for a long time (deprivation) during the critical period (e.g. when the mother dies) then it will permanently damage the infant’s psychological development. For example, he believed that maternal deprivation can lead to aggression, social maladjustment, and depression.
Privation is when an infant never forms an attachment. It may occur when an infant is raised away from their parents in an institution such as an orphanage or a children’s home. The psychological and behavioural effects of being raised in such institutions are known as institutionalisation."
"62","Rutter et al (1998) studied the effects of privation and institutionalisation in their Romanian orphan studies. Conditions in Romania in the early 1990s were difficult, and the children placed in orphanages suffered from minimal contact with adults and poor nutrition. A key aim of Rutter’s study was to see whether the effects of such extreme privation in early life could be overcome with love and care.
These findings suggest institutionalisation can be largely reversed if the infant is shown love and care. However, the longer the infant goes without forming an attachment, the more likely they are to suffer permanent developmental issues."
"63","Bowlby’s internal working model forms the basis of the continuity hypothesis: the theory that attachments in early life form the basis for attachments later on, i.e. that there is continuity between early and later attachments.
Example question: Discuss the influence of early attachment on relationships as an adult. [8 marks]
Research suggests early infant attachments affect friendships in childhood."
"64","Research suggests early infant attachments affect friendships in childhood.
For example, Youngblade and Belsky (1992) conducted a longitudinal study of 73 children. They found that children who had demonstrated secure attachment styles at 1 year old (as measured using the strange situation procedure) were more likely to have close friendships and get along well with other children by ages 3-5. The continuity between infant attachment and child friendships is also supported by Laible et al (2000), who found that adolescents who scored highly for parent attachment were also more likely to score highly for peer attachment too. 
The continuity with infant attachments extends into adulthood too. Both romantic attachments and parenting styles are correlated with infant attachment styles."
"65","Hazan and Shaver (1987) conducted a study to test for continuity between infant attachment styles and romantic attachments as adults. Participants completed questionnaires that asked them to say which of 3 statements best applied to their feelings on romantic relationships – and each of these 3 statements would correspond to one of Ainsworth’s attachment styles (secure, insecure-avoidant, and insecure-resistant). Participants were also asked to complete a checklist on childhood relationships with parents, with answers again corresponding to Ainsworth’s attachment styles."
"66","The researchers found correlations between infant attachment styles and views on romantic relationships. For example, participants who were identified as securely attached infants from the childhood checklist tended to have longer lasting relationships and lower divorce rates as adults compared to those with insecure infant attachment styles. Both insecure attachment styles were more vulnerable to loneliness, with insecure-resistant types being most likely to be lonely. Adults who had insecure-avoidant attachment styles as infants tended to believe that love is rare and felt that they did not need romantic partners to be happy."
"67","Several studies, for example Bailey et al (2007), have found that attachment styles in infancy are correlated with parenting styles in adulthood. Psychopathology is the study of mental disorders and conditions that are considered psychologically abnormal. Defining ‘abnormal’ is a topic in itself, with the syllabus mentioning 4 definitions of abnormality: deviation from social norms, failure to function adequately, statistical infrequency, and deviation from ideal mental health.
Note that these are not the only valid psychological approaches to these disorders. For example, phobias can be treated biologically (e.g. with drugs) and OCD can be treated cognitively (e.g. cognitive behavioural therapy). These alternative approaches can be used to evaluate the approach listed in the syllabus."
"68","Each of these definitions has various strengths and weaknesses, which are covered in the AO3 evaluation points below.
We can define abnormality as behaviour that deviates from these social norms. For example, going up and touching random strangers or walking around naked is abnormal.
The degree to which a behaviour is abnormal depends on how extreme the deviation is and how important the norm is. For example, not saying “thank you” might be somewhat abnormal – but it’s not dangerous, just rude. However, going up to and touching random strangers is a more extreme deviation of a more important rule and so may justify intervention from other people to stop this behaviour."
"69","Another definition of abnormality is failure to function adequately. This means a person is unable to navigate everyday life or behave in the necessary ways to live a ‘normal’ life. For example, failure to function adequately would prevent a person from having successful interpersonal interactions or get and keep a job.
The Global Assessment of Functioning (GAF) scale provides a way to quantify (from 0 to 100) the extent to which a mental disorder affects an individual’s ability to function adequately. A person who scores highly (e.g. 80+) will have few if any symptoms that prevent their ability to function, whereas a person with a very low score (<20) will struggle in society and may even be a danger to themself or others."
"70","The statistical infrequency definition of abnormality is a mathematical one. It defines abnormality as statistically rare characteristics and behaviours. The further a characteristic or behaviour is from the mathematical average, the more rare or statistically infrequent it is."
"71","The average here is indicated by 0 on the X-axis. The other figures indicate standard deviations (σ) from this average. The more a figure deviates from the average, the rarer it is.
For example, 68.2% of people – the majority – will be within 1 standard deviation of this average (34.1% above and 34.1% below). It is statistically more rare to be above or below 1 standard deviation from the average, and much rarer still to be more than 2 standard deviations from the average."
"72","Many psychological traits and behaviours can be quantified and plotted on a graph like the one above. For example, intelligence can be quantified by IQ tests. The average IQ is 100, and most people will have an IQ within 1 standard deviation of this (i.e. between 85 and 115). An IQ above 130 or below 70 is statistically infrequent – it occurs in only around 2% of people – and so, according to this definition, would be considered psychologically abnormal.
Another definition of abnormality is deviation from ideal mental health."
"73","Another definition of abnormality is deviation from ideal mental health.
Someone with ideal mental health would tick all 6 of these boxes. However, if a person fails to tick most of these boxes, or deviates significantly from one of them (e.g. they constantly hallucinate pink elephants and thus do not have an accurate perception of reality), they would be classified as abnormal according to the deviation from ideal mental health definition.
Emotional characteristics: It is natural to feel some fear in response to potential danger. But people with phobias experience extreme fear that is uncontrollable and disproportionate to the situation."
"74","Behavioural characteristics: Screaming, crying, freezing, or running away from the feared stimuli. A phobic person will typically try to avoid the feared stimuli – for example, a person with aerophobia might stay away from airports.
Cognitive characteristics: Most people with phobias recognise that their fear is irrational and disproportionate. However, this recognition does little to reduce the fear the phobic person feels.
There are many competing and complementary approaches to psychology, including behaviourism, the cognitive approach, and the biological approach. The syllabus focuses on the behaviourist approach to phobias, but other approaches can serve as a means to evaluate this approach."
"75","The behavioural approach (behaviourism) analyses phobias based on external observations of environmental stimuli and behavioural responses (rather than e.g. the underlying thought processes). The two-process model explains how phobias are developed and maintained through behavioural conditioning."
"76","Humans naturally fear pain, and so a fear response to pain is unconditioned. But when this natural (unconditioned) response is associated with a neutral stimulus (e.g. a dog) through experience (e.g. a dog biting them), then a person can become conditioned to associate the response (fear) with the stimulus (dogs). This is an example of classical conditioning, which is based on the work of Ivan Pavlov."
